Date,Oil Prices,Inflation Expectations,,CPI-adjusted average monthly oil prices,Inflation Expectations
6/1/1978,23.29786639,6.81,,,
12/1/1978,22.25637844,7.97,,,
6/1/1979,23.58559423,9.27,,,
12/1/1979,37.61225586,11.13,,,
6/1/1980,46.83248678,11.93,,,
12/1/1980,43.96420411,12.27,,,
6/1/1981,42.40672314,9.39,,,
12/1/1981,38.35085876,9.33,,,
6/1/1982,34.68158968,5.64,,,
12/1/1982,34.98977257,5.64,,,
6/1/1983,30.53148021,4.22,,,
12/1/1983,30.5179831,4.23,,,
6/1/1984,29.39668102,5.43,,,
12/1/1984,26.9647188,4.35,,,
6/1/1985,25.71511512,4.23,,,
12/1/1985,26.27096987,3.77,,,
6/1/1986,14.13657574,2.73,,,
12/1/1986,13.27648629,2.57,,,
6/1/1987,16.71520631,4.16,,,
12/1/1987,17.01584799,4.07,,,
6/1/1988,14.54033635,4.48,,,
12/1/1988,12.47215003,4.54,,,
6/1/1989,15.8025524,4.99,,,
12/1/1989,15.80277999,4.46,,,
6/1/1990,15.40607137,4.57,,,
12/1/1990,21.96867036,5.23,,,
6/1/1991,15.73550808,4.16,,,
12/1/1991,15.8188047,3.76,,,
6/1/1992,14.3988955,3.43,,,
12/1/1992,14.90524071,3.14,,,
6/1/1993,13.78491842,3.4,,,
12/1/1993,11.78294375,2.95,,,
6/1/1994,11.07291599,3.02,,,
12/1/1994,12.10677058,2.97,,,
6/1/1995,12.4426953,3.25,,,
12/1/1995,11.7456587,2.89,,,
6/1/1996,13.3300822,3.01,,,
12/1/1996,14.89995627,3.01,,,
6/1/1997,13.35980855,2.86,,,
12/1/1997,12.31158869,2.39,,,
6/1/1998,9.424794498,2.1,,,
12/1/1998,8.236514196,1.91,,,
6/1/1999,9.280163022,2.36,,,
12/1/1999,13.7899903,2.665,,,
6/1/2000,16.85918119,2.97,,,
12/1/2000,18.31694386,3.09,,,
6/1/2001,16.06020103,2.92,,,
12/1/2001,13.23489186,2.37,,,
6/1/2002,13.38587943,2.22,,,
12/1/2002,15.61302293,1.93,,,
6/1/2003,17.23392624,2.1,,,
12/1/2003,16.61511287,2.12,,,
6/1/2004,19.62632616,2.36,,,
12/1/2004,24.20134534,2.53,,,
6/1/2005,26.61177028,2.8,,,
12/1/2005,31.16458501,3.16,,,
6/1/2006,33.40049071,2.93,,,
12/1/2006,32.18448862,2.7,,,
6/1/2007,29.94405922,2.43,,,
12/1/2007,39.73089211,2.89,,,
6/1/2008,51.7605507,3.23,,,
12/1/2008,40.56567065,2.29,,,
6/1/2009,24.05084458,0.46,,,
12/1/2009,33.35924256,0.92,,,
6/1/2010,36.00764461,1.76,,,
12/1/2010,36.82387676,1.59,,,
6/1/2011,43.99344408,2.63,,,
12/1/2011,40.56034389,2.68,,,
6/1/2012,42.95674699,2.14,,,
12/1/2012,39.12190781,2.13,,,
6/1/2013,40.61104689,1.77,,,
12/1/2013,43.46532784,1.62,,,
6/1/2014,42.76845937,1.94,,,
12/1/2014,36.02453242,1.56,,,
6/1/2015,22.51693093,1.11,,,
12/1/2015,18.57627312,0.94,,,
6/1/2016,16.45412078,1.69,,,
12/1/2016,19.4662533,1.84,,,
6/1/2017,20.4953237,2.31,,,
12/1/2017,21.0129378,2.16,,,
6/1/2018,26.18129991,2.43,,,
12/1/2018,25.54644476,2.36,,,
6/1/2019,22.52821695,1.98,,,
12/1/2019,22.04781046,1.95,,,
